AppUsageEventEntity-packageName,category,abstract
com.samsung.android.spay,Lifestyle,Lifestyle
com.samsung.android.weather,Lifestyle,Lifestyle
com.samsung.oh,Lifestyle,Lifestyle
com.samsung.ssmobile,Lifestyle,Lifestyle
com.show.greenbill,Lifestyle,Lifestyle
com.skmc.okcashbag.home_google,Lifestyle,Lifestyle
com.skt.aladdin,Lifestyle,Lifestyle
com.skt.logii.widget,Lifestyle,Lifestyle
com.skt.smartbill,Lifestyle,Lifestyle
com.soilbonus.goodoilfamily,Lifestyle,Lifestyle
com.ssg.bang,Lifestyle,Lifestyle
com.tenfingers.seouldatepop,Lifestyle,Lifestyle
com.tinder,Lifestyle,Lifestyle
com.tms,Lifestyle,Lifestyle
com.ton.tarotofoz,Lifestyle,Lifestyle
com.uniqlo.kr.catalogue,Lifestyle,Lifestyle
com.unsin,Lifestyle,Lifestyle
com.weeds.tillionpanel.full,Lifestyle,Lifestyle
com.whox2.lguplus,Lifestyle,Lifestyle
com.xiaomi.smarthome,Lifestyle,Lifestyle
handasoft.mobile.divination,Lifestyle,Lifestyle
kr.co.burgerkinghybrid,Lifestyle,Lifestyle
kr.co.cjone.app.lockscreen,Lifestyle,Lifestyle
kr.co.gscaltex.gsnpoint,Lifestyle,Lifestyle
kr.co.ivlog.mobile.app.cjonecard,Lifestyle,Lifestyle
kr.co.kiwiplus.kiwi.kiwimom,Lifestyle,Lifestyle
kt.co.ktmmobile,Lifestyle,Lifestyle
net.daum.android.solcalendar,Lifestyle,Lifestyle
uplus.membership,Lifestyle,Lifestyle
com.chbreeze.jikbang4a,House/Home,Lifestyle
com.hogangnono.hogangnono,House/Home,Lifestyle
com.nhn.land.android,House/Home,Lifestyle
seekrtech.sleep,Health/Fitness,Health/Fitness
cc.pacer.androidapp,Health/Fitness,Health/Fitness
com.aia.vitality.kr,Health/Fitness,Health/Fitness
com.bcf.coinstep,Health/Fitness,Health/Fitness
com.cashwalk.cashwalk,Health/Fitness,Health/Fitness
com.dnt7.threeW,Health/Fitness,Health/Fitness
com.fitbit.FitbitMobile,,
com.fitstar.pt,Health/Fitness,Health/Fitness
com.hanbit.fitday,Health/Fitness,Health/Fitness
com.hanbit.rundayfree,Health/Fitness,Health/Fitness
com.inbody2014.inbody,Health/Fitness,Health/Fitness
com.lge.lifetracker,Health/Fitness,Health/Fitness
com.lunatouch.eyefilter.pro,Health/Fitness,Health/Fitness
com.mapmyrun.android2,Health/Fitness,Health/Fitness
com.nike.plusgps,Health/Fitness,Health/Fitness
com.northcube.sleepcycle,Health/Fitness,Health/Fitness
com.popularapp.periodcalendar,Health/Fitness,Health/Fitness
com.sec.android.app.shealth,Health/Fitness,Health/Fitness
com.sportractive,Health/Fitness,Health/Fitness
com.strava,Health/Fitness,Health/Fitness
com.xiaomi.hm.health,Health/Fitness,Health/Fitness
kr.co.openit.openrider,Health/Fitness,Health/Fitness
losebellyfat.flatstomach.absworkout.fatburning,Health/Fitness,Health/Fitness
sixpack.sixpackabs.absworkout,Health/Fitness,Health/Fitness
com.Monthly23.SwipeBrickBreaker,Game,Media/Entertainment
com.bandainamcoent.onepiecetresurecruisekr,Game,Media/Entertainment
com.kakaogames.friendsKing,Game,Media/Entertainment
com.kakaogames.friendsTower,Game,Media/Entertainment
com.kakaogames.gnss,Game,Media/Entertainment
com.nexon.da3,Game,Media/Entertainment
com.nexon.nsc.maplem,Game,Media/Entertainment
com.outfit7.mytalkingtomfree,Game,Media/Entertainment
com.pearlabyss.blackdesertm,Game,Media/Entertainment
com.playrix.gardenscapes,Game,Media/Entertainment
com.pubg.krmobile,Game,Media/Entertainment
com.puzzlegames.collection.puzzle,Game,Media/Entertainment
com.sundaytoz.kakao.anipang3.service,Game,Media/Entertainment
com.sundaytoz.kakao.wbb,Game,Media/Entertainment
com.supercell.clashroyale,Game,Media/Entertainment
com.tinyco.potter,Game,Media/Entertainment
com.wellgames.ss,Game,Media/Entertainment
kr.aos.com.aprogen.hng.fortressm,Game,Media/Entertainment
com.coffeebeankorea.android,Food/Drink,Lifestyle
com.diningcode,Food/Drink,Lifestyle
com.ediya.coupon,Food/Drink,Lifestyle
com.org.yakult,Food/Drink,Lifestyle
com.sampleapp,Food/Drink,Lifestyle
com.smartro.gongcha,Food/Drink,Lifestyle
com.starbucks.co,Food/Drink,Lifestyle
kr.ac.kaist.bab,Food/Drink,Lifestyle
stonykids.baedaltong.season2,Food/Drink,Lifestyle
coinone.co.kr.official,Finance,Finance
com.TouchEn.mVaccine.webs,Finance,Finance
com.app.shd.pstock,Finance,Finance
com.blockfolio.blockfolio,Finance,Finance
com.btckorea.bithumb,Finance,Finance
com.caloriecoin.wallet,Finance,Finance
com.dencreak.spbook,Finance,Finance
com.dominicosoft.coinmaster,Finance,Finance
com.dunamu.exchange,Finance,Finance
com.dunamu.stockplus,Finance,Finance
com.dunamu.trading,Finance,Finance
com.easy.currency.extra.androary,Finance,Finance
com.hanabank.ebk.channel.android.hananbank,Finance,Finance
com.hanaskcard.paycla,Finance,Finance
com.hanaskcard.rocomo.potal,Finance,Finance
com.hanwhalife.mobilecenter,Finance,Finance
com.httpdongbu_directcar.dbdirect,Finance,Finance
com.hyundaicard.appcard,Finance,Finance
com.ibk.onebankA,Finance,Finance
com.kakaobank.channel,Finance,Finance
com.kbankwith.smartbank,Finance,Finance
com.kbcard.cxh.appcard,Finance,Finance
com.kbcard.kat.liivmate,Finance,Finance
com.kbcard.kbkookmincard,Finance,Finance
com.kbstar.kbbank,Finance,Finance
com.kbstar.minibank,Finance,Finance
com.kbstar.smartotp,Finance,Finance
com.kbstar.starpush,Finance,Finance
com.kebhana.hanapush,Finance,Finance
com.lcacApp,Finance,Finance
com.linkzen.app,Finance,Finance
com.lotte.lpay,Finance,Finance
com.nhn.android.moneybook,Finance,Finance
com.rainist.banksalad2,Finance,Finance
com.realbyteapps.moneymanagerfree,Finance,Finance
com.samsungfire.insurance,Finance,Finance
com.samsungpop.android.mpop,Finance,Finance
com.shcard.smartpay,Finance,Finance
com.shinhan.global.vn.sclub,Finance,Finance
com.shinhan.sbanking,Finance,Finance
com.shinhancard.smartshinhan,Finance,Finance
com.skt.skaf.OA00026910,Finance,Finance
com.sktelecom.tauth,Finance,Finance
com.smg.spbs,Finance,Finance
com.ssg.serviceapp.android.egiftcertificate,Finance,Finance
com.wooribank.pib.smart,Finance,Finance
com.wooribank.pot.smart,Finance,Finance
com.wooribank.smart.mwib,Finance,Finance
com.wooribank.smart.wwms,Finance,Finance
com.wooricard.smartapp,Finance,Finance
com.wooriwm.mugsmart,Finance,Finance
com.wooriwm.txsmart,Finance,Finance
com.wr.alrim,Finance,Finance
com.yuanta.helloyuanta,Finance,Finance
com.yuanta.tradarm,Finance,Finance
com.coinmarket.android,Finance,Finance
hyundai.hi.smart.android.activity,Finance,Finance
kr.co.bitsonic,Finance,Finance
kr.co.hanamembers.hmscustomer,Finance,Finance
kr.co.keypair.keywalletTouch,Finance,Finance
kr.co.samsungcard.mpocket,Finance,Finance
kr.or.kftc.mobileapt2you,Finance,Finance
kvp.jjy.MispAndroid320,Finance,Finance
lt.spectrofinance.spectrocoin.android.wallet,Finance,Finance
net.ib.android.smcard,Finance,Finance
nh.smart,Finance,Finance
nh.smart.signone,Finance,Finance
sam.myanycar.samsungFire,Finance,Finance
viva.republica.toss,Finance,Finance
kr.co.nowcom.mobile.afreeca,Entertainment,Media/Entertainment
com.appgate.gorealra,Entertainment,Media/Entertainment
com.camobile.akb48mail,Entertainment,Media/Entertainment
com.cgv.android.movieapp,Entertainment,Media/Entertainment
com.frograms.watcha,Entertainment,Media/Entertainment
com.frograms.wplay,Entertainment,Media/Entertainment
com.gdragon.pod.leeson,Entertainment,Media/Entertainment
com.google.android.apps.youtube.kids,Entertainment,Media/Entertainment
com.google.android.play.games,Entertainment,Media/Entertainment
com.imbc.mini,Entertainment,Media/Entertainment
com.interpark.app.ticket,Entertainment,Media/Entertainment
com.kakao.page,Entertainment,Media/Entertainment
com.kt.otv,Entertainment,Media/Entertainment
com.megabox.mop,Entertainment,Media/Entertainment
com.morp.arirangVV,Entertainment,Media/Entertainment
com.naver.naveraudio,Entertainment,Media/Entertainment
com.naver.vapp,Entertainment,Media/Entertainment
